fish;tench;рыбы;линь
fish;goldfish;рыбы;золотая рыбка
shark;great white shark;Акула;большая белая акула
shark;tiger shark;Акула;тигровая акула
shark;hammerhead;Акула;молот
fish;electric ray;рыбы;электрический луч
fish;stingray;рыбы;Стингрей
bird;cock;птица;петух
bird;hen;птица;курочка
bird;ostrich;птица;страусиная
bird;brambling;птица;Юрок
bird;goldfinch;птица;щегол
bird;house finch;птица;дом Финч
bird;junco;птица;Юнко
bird;indigo bunting;птица;индиго Бантинг
bird;robin;птица;Робин
bird;bulbul;птица;Бюльбюль
bird;jay;птица;Джей
bird;magpie;птица;Сороки
bird;chickadee;птица;синица
bird;water ouzel;птица;вода оцел
bird;kite;птица;кайт
bird;bald eagle;птица;белоголовый орлан
bird;vulture;птица;гриф
bird;great grey owl;птица;неясыть
salamander;European fire salamander;саламандра;Европейский огненная саламандра
salamander;common newt;саламандра;общие Ньют
salamander;eft;саламандра;эфт
salamander;spotted salamander;саламандра;пятнистая саламандра
salamander;axolotl;саламандра;аксолотля
frog;bullfrog;лягушка;буллфрог
frog;tree frog;лягушка;квакша 
frog;tailed frog;лягушка;хвостатые лягушки
turtle;loggerhead;черепаха;головастая
turtle;leatherback turtle;черепаха;кожистая черепаха
turtle;mud turtle;черепаха;черепахе
turtle;terrapin;черепаха;черепаха
turtle;box turtle;черепаха;черепаха коробка 
lizard;banded gecko;ящерица;обвязываем Гекко
lizard;common iguana;ящерица;общие игуана
lizard;American chameleon;ящерица;Американский хамелеон
lizard;whiptail;ящерица;настоящих
lizard;agama;ящерица;агама
lizard;frilled lizard;ящерица;Плащеносная ящерица
lizard;alligator lizard;ящерица;Аллигатор ящерица
lizard;Gila monster;ящерица;Монстр хилы 
lizard;green lizard;ящерица;зеленая ящерица
lizard;African chameleon;ящерица;Африканский хамелеон
lizard;Komodo dragon;ящерица;Комодо дракон
crocodile;African crocodile;крокодил;Африканский крокодил
crocodile;American alligator;крокодил;Американский аллигатор
dinosaur;triceratops;динозавр;трицератопс
snake;thunder snake;змея;грома змея
snake;ringneck snake;змея;ringneck змея
snake;hognose snake;змея;hognose змея
snake;green snake;змея;зеленая змея
snake;king snake;змея;королевская змея
snake;garter snake;змея;подвязки змея
snake;water snake;змея;водяная змея
snake;vine snake;змея;Лоза змея
snake;night snake;змея;Ночной Змей
snake;boa constrictor;змея;удав
snake;rock python;змея;рок питона
snake;Indian cobra;змея;Индийская кобра
snake;green mamba;змея;зеленая мамба
fish;sea snake;рыбы;морская змея
snake;horned viper;змея;рогатая гадюка
snake;diamondback;змея;капустная
snake;sidewinder;змея;Сайдвиндер
trilobite;trilobite;трилобит;трилобит
arachnid;harvestman;паукообразный;сенокос
arachnid;scorpion;паукообразный;Скорпион
arachnid;black and gold garden spider;паукообразный;черный и золотой паук на сад 
arachnid;barn spider;паукообразный;паучью 
arachnid;garden spider;паукообразный;сад паук 
arachnid;black widow;паукообразный;Черная вдова
arachnid;tarantula;паукообразный;тарантул
arachnid;wolf spider;паукообразный;паук волк 
bug;tick;ошибка;клеща
bug;centipede;ошибка;сороконожка
bird;black grouse;птица;тетерев
bird;ptarmigan;птица;куропатка
bird;ruffed grouse;птица;гривистый тетерев
bird;prairie chicken;птица;прерии курица
bird;peacock;птица;павлин
bird;quail;птица;перепела
bird;partridge;птица;Партридж
bird;African grey;птица;Африканский серый
bird;macaw;птица;Ара
bird;sulphur-crested cockatoo;птица;серы хохлатая какаду
bird;lorikeet;птица;лорикет
bird;coucal;птица;коукаль
bird;bee eater;птица;пчела людоед
bird;hornbill;птица;Хорнбилл
bird;hummingbird;птица;колибри
bird;jacamar;птица;jacamar
bird;toucan;птица;Тукан
bird;drake;птица;Дрейк
bird;red-breasted merganser;птица;длинноносый крохаль
bird;goose;птица;гусь
bird;black swan;птица;Черный лебедь
ungulate;tusker;копытных;клыками
monotreme;echidna;monotreme;ехидна
monotreme;platypus;monotreme;Утконос
marsupial;wallaby;сумчатые;валлаби
marsupial;koala;сумчатые;коала
marsupial;wombat;сумчатые;вомбат
fish;jellyfish;рыбы;медузы
coral;sea anemone;коралловый;морской анемон
coral;brain coral;коралловый;мозг коралл
bug;flatworm;ошибка;червь
bug;nematode;ошибка;нематоды
mollusk;conch;моллюск;Конч
mollusk;snail;моллюск;улитка
mollusk;slug;моллюск;слизень
mollusk;sea slug;моллюск;морской слизень
mollusk;chiton;моллюск;Хитон
mollusk;chambered nautilus;моллюск;Наутилуса
crustacean;Dungeness crab;рачок;Дагнесс краб
crustacean;rock crab;рачок;рок-краб
crustacean;fiddler crab;рачок;крабом
crustacean;king crab;рачок;краба
crustacean;American lobster;рачок;Американский лобстер
crustacean;spiny lobster;рачок;лангуст
crustacean;crayfish;рачок;Раков
crustacean;hermit crab;рачок;отшельник 
crustacean;isopod;рачок;изопода
bird;white stork;птица;Белый аист
bird;black stork;птица;черный аист
bird;spoonbill;птица;колпица
bird;flamingo;птица;фламинго
bird;little blue heron;птица;маленькая голубая цапля
bird;American egret;птица;Американская цапля
bird;bittern;птица;выпь
vehicle;crane;автомобиль;кран
bird;limpkin;птица;limpkin
bird;European gallinule;птица;Европейский султанка
bird;American coot;птица;Американская лысуха
bird;bustard;птица;Дрофа
bird;ruddy turnstone;птица;камнешарка
bird;red-backed sandpiper;птица;красно-поддержал песочник
bird;redshank;птица;травник
bird;dowitcher;птица;dowitcher
bird;oystercatcher;птица;кулик-сорока
bird;pelican;птица;Пеликан
bird;king penguin;птица;король пингвинов
bird;albatross;птица;Альбатрос
marine mammals;grey whale;морских млекопитающих;серый кит
marine mammals;killer whale;морских млекопитающих;Касатка
marine mammals;dugong;морских млекопитающих;Дюгонь
marine mammals;sea lion;морских млекопитающих;морской лев
dog;Chihuahua;собака;Чихуахуа
dog;Japanese spaniel;собака;Японский спаниель
dog;Maltese dog;собака;Мальтезе собаки
dog;Pekinese;собака;Пекинес
dog;Shih-Tzu;собака;Ши-Тцу
dog;Blenheim spaniel;собака;Бленхейм спаниель
dog;papillon;собака;Папильон
dog;toy terrier;собака;той-терьер
dog;Rhodesian ridgeback;собака;Родезийский риджбек
dog;Afghan hound;собака;Афганская борзая
dog;basset;собака;бассет
dog;beagle;собака;бигль
dog;bloodhound;собака;ищейка
dog;bluetick;собака;блутик
dog;black-and-tan coonhound;собака;черно-подпалый кунхаунд
dog;Walker hound;собака;Уокер хаунд
dog;English foxhound;собака;Английский фоксхаунд
dog;redbone;собака;Рыжуля
